codigo,tipo,categoria,dia,finde,ano,hora,momento,distrito,X,Y
70224155,intento,intento,6.SABADO,SI,2007,10,1.MANANA,RICHMOND,-122.5095721,37.78026256
180295674,laceracion,cometido,6.SABADO,SI,2018,12,1.MANANA,RICHMOND,-122.4546209,37.78817542
50364204,estrangulamiento,cometido,6.SABADO,SI,2005,16,2.TARDE,RICHMOND,-122.4930357,37.77682728
51465398,arma,cometido,6.SABADO,SI,2005,15,2.TARDE,RICHMOND,-122.4835493,37.78575932
120678745,arma,cometido,6.SABADO,SI,2012,19,2.TARDE,RICHMOND,-122.4789686,37.77559897
140773143,intento,intento,6.SABADO,SI,2014,17,2.TARDE,RICHMOND,-122.4612016,37.78400723
170778129,intento,intento,6.SABADO,SI,2017,17,2.TARDE,RICHMOND,-122.4517789,37.77697909
30859968,estrangulamiento,cometido,6.SABADO,SI,2003,20,4.NOCHE,RICHMOND,-122.4717748,37.78162346
41185904,intento,intento,6.SABADO,SI,2004,22,4.NOCHE,RICHMOND,-122.4503296,37.78063167
70765074,intento,intento,6.SABADO,SI,2007,21,4.NOCHE,RICHMOND,-122.4355758,37.78489228
120890585,intento,intento,6.SABADO,SI,2012,20,4.NOCHE,RICHMOND,-122.486497,37.78200344
81166027,intento,intento,5.VIERNES,NO,2008,1,0.MADRUGADA,RICHMOND,-122.4791032,37.77746262
90374166,salto,cometido,5.VIERNES,NO,2009,6,1.MANANA,RICHMOND,-122.4575402,37.78594615
60426684,intento,intento,5.VIERNES,NO,2006,18,2.TARDE,RICHMOND,-122.4764329,37.77661314
80164422,laceracion,cometido,5.VIERNES,NO,2008,16,2.TARDE,RICHMOND,-122.5038802,37.77823264
90752744,arma,cometido,5.VIERNES,NO,2009,13,2.TARDE,RICHMOND,-122.5100336,37.77230656
100026158,intento,intento,5.VIERNES,NO,2010,13,2.TARDE,RICHMOND,-122.4588576,37.78220007
130092602,intento,intento,5.VIERNES,NO,2013,18,2.TARDE,RICHMOND,-122.5100325,37.77417865
40042084,estrangulamiento,cometido,5.VIERNES,NO,2004,23,4.NOCHE,RICHMOND,-122.4981114,37.77285231
131030342,intento,intento,5.VIERNES,NO,2013,21,4.NOCHE,RICHMOND,-122.4464554,37.78910397
100794775,intento,intento,7.DOMINGO,SI,2010,2,0.MADRUGADA,SOUTHERN,-122.4090892,37.7769611
150075393,intento,intento,7.DOMINGO,SI,2015,2,0.MADRUGADA,SOUTHERN,-122.4095043,37.78152627
160696638,intento,intento,7.DOMINGO,SI,2016,5,0.MADRUGADA,SOUTHERN,-122.4028355,37.7868009
41217052,intento,intento,7.DOMINGO,SI,2004,11,1.MANANA,SOUTHERN,-122.4034048,37.77542071
50122046,arma,cometido,7.DOMINGO,SI,2005,12,1.MANANA,SOUTHERN,-122.4086735,37.78005744
50627535,salto,cometido,7.DOMINGO,SI,2005,8,1.MANANA,SOUTHERN,-122.4098928,37.7801135
70227808,salto,cometido,7.DOMINGO,SI,2007,11,1.MANANA,SOUTHERN,-122.4034048,37.77542071
71105405,salto,cometido,7.DOMINGO,SI,2007,10,1.MANANA,SOUTHERN,-122.4034048,37.77542071
101035300,salto,cometido,7.DOMINGO,SI,2010,12,1.MANANA,SOUTHERN,-122.4034048,37.77542071
150889962,otros,cometido,7.DOMINGO,SI,2015,10,1.MANANA,SOUTHERN,-122.404957,37.78511786
40503321,asfixia,cometido,7.DOMINGO,SI,2004,14,2.TARDE,SOUTHERN,-122.4034048,37.77542071
80019463,laceracion,cometido,7.DOMINGO,SI,2008,17,2.TARDE,SOUTHERN,-122.3950217,37.77531285
110591630,intento,intento,7.DOMINGO,SI,2011,15,2.TARDE,SOUTHERN,-122.4110714,37.78175113
120002489,intento,intento,7.DOMINGO,SI,2012,19,2.TARDE,SOUTHERN,-122.392773,37.77708678
121050601,intento,intento,7.DOMINGO,SI,2012,17,2.TARDE,SOUTHERN,-122.4107181,37.77895976
130244477,intento,intento,7.DOMINGO,SI,2013,18,2.TARDE,SOUTHERN,-122.4090112,37.78113406
71133729,intento,intento,7.DOMINGO,SI,2007,20,4.NOCHE,SOUTHERN,-122.4034048,37.77542071
160637438,intento,intento,7.DOMINGO,SI,2016,21,4.NOCHE,SOUTHERN,-122.4034048,37.77542071
170595519,estrangulamiento,cometido,4.JUEVES,NO,2017,2,0.MADRUGADA,SOUTHERN,-122.4080525,37.78156683
50858746,intento,intento,4.JUEVES,NO,2005,12,1.MANANA,SOUTHERN,-122.3994778,37.78783219
61298515,laceracion,cometido,4.JUEVES,NO,2006,8,1.MANANA,SOUTHERN,-122.4075459,37.78440118
90959122,salto,cometido,4.JUEVES,NO,2009,11,1.MANANA,SOUTHERN,-122.4034048,37.77542071
100626071,salto,cometido,4.JUEVES,NO,2010,11,1.MANANA,SOUTHERN,-122.4028355,37.7868009
120881772,otros,cometido,4.JUEVES,NO,2012,6,1.MANANA,SOUTHERN,-122.4023215,37.78203871
140362019,asfixia,cometido,4.JUEVES,NO,2014,8,1.MANANA,SOUTHERN,-122.4034048,37.77542071
30243888,intento,intento,4.JUEVES,NO,2003,17,2.TARDE,SOUTHERN,-122.3894204,37.78319359
40460975,intento,intento,4.JUEVES,NO,2004,15,2.TARDE,SOUTHERN,-122.4079992,37.77782417
41064079,salto,cometido,4.JUEVES,NO,2004,18,2.TARDE,SOUTHERN,-122.4095043,37.78152627
