"","Continent","Disturbance","Order","Family","Scientific.name","Common.name","FID","log.fid"
"122","America-Australia","Non-motorized watercraft","Charadriiformes","Scolopacidae","Calidris ferruginea","curlew sandpiper",26.8,1.42813479402879
"123","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Calidris ferruginea","curlew sandpiper",34.8,1.54157924394658
"124","America-Australia","Dog","Charadriiformes","Scolopacidae","Calidris ruficollis","red-necked stint",32.6,1.51321760006794
"125","America-Australia","Non-motorized watercraft","Charadriiformes","Scolopacidae","Calidris ruficollis","red-necked stint",17.3,1.2380461031288
"126","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Calidris ruficollis","red-necked stint",20,1.30102999566398
"127","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Calidris ruficollis","red-necked stint",28.1,1.44870631990508
"128","America-Australia","Motorized watercraft","Charadriiformes","Scolopacidae","Limosa lapponica","bar-tailed godwit",53.5,1.72835378202123
"129","America-Australia","Non-motorized watercraft","Charadriiformes","Scolopacidae","Limosa lapponica","bar-tailed godwit",41.9,1.6222140229663
"130","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Limosa lapponica","bar-tailed godwit",48.6,1.68663626926229
"131","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Numenius madagascariensis","eastern curlew",97.5,1.98900461569854
"132","America-Australia","Dog","Charadriiformes","Scolopacidae","Tringa nebularia","common greenshank",80.3,1.90471554527868
"133","America-Australia","Motorized watercraft","Charadriiformes","Scolopacidae","Tringa nebularia","common greenshank",60.7,1.78318869107526
"134","America-Australia","Non-motorized watercraft","Charadriiformes","Scolopacidae","Tringa nebularia","common greenshank",51.5,1.71180722904119
"135","America-Australia","Pedestrian","Charadriiformes","Scolopacidae","Tringa nebularia","common greenshank",70,1.84509804001426
"136","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Arenaria interpres","ruddy turnstone",29.66,1.47217114669236
"137","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Caldris acuminata","sharp-tailed sandpiper",20.29,1.30728204703335
"138","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Caldris alba","sanderling",32,1.50514997831991
"139","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Caldris ferruginea","curlew sandpiper",25.19,1.40122816749811
"140","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Caldris melanotos","pectoral sandpiper",23,1.36172783601759
"141","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Caldris ruficollis","red-necked stinta",18.73,1.27253777737524
"142","America-Australia","Motorized vehicle","Charadriiformes","Scolopacidae ","Calidris ruficollis","red-necked stint",26.3,1.41995574848976
"143","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Gallinago hardwickii","Latham’s snipe",62.62,1.7967130632809
"144","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Limosa lapponica","bar-tailed godwit ",59.5,1.77451696572855
"145","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Limosa limosa","black-tailed godwit",31.25,1.49485002168009
"146","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Numenius madagascariensis","eastern curlew",126.13,2.10081839573154
"147","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Numenius phaeopus","whimbrel ",90,1.95424250943932
"148","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Tringa nebularia","common greenshank",55.41,1.7435881501599
"149","America-Australia","Pedestrian","Charadriiformes","Scolopacidae ","Tringa stagnatilis","marsh sandpiper",44.1,1.64443858946784
"150","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Ardea modesta","eastern great egret",32.8,1.51587384371168
"151","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Ardea modesta","eastern great egret",57,1.75587485567249
"152","America-Australia","Bicycle","Ciconiiformes","Ardeidae","Ardea modesta ","eastern great egret ",58.3,1.76566855475901
"153","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Ardea modesta ","eastern great egret ",70,1.84509804001426
"154","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Ardea modesta ","eastern great egret ",36.7,1.56466606425209
"155","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Ardea modesta ","eastern great egret ",57.2,1.75739602879302
"156","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Ardea modesta ","eastern great egret ",57.7,1.76117581315573
"157","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Ardea pacifica","white-necked heron",26.4,1.42160392686983
"158","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Ardea pacifica","white-necked heron",63.4,1.80208925788173
"159","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Ardea pacifica","white-necked heron ",26.4,1.42160392686983
"160","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Ardea pacifica","white-necked heron ",63.4,1.80208925788173
"161","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Bubulcus ibis","cattle egret",23.4,1.36921585741014
"162","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Bubulcus ibis ","cattle egret ",23.4,1.36921585741014
"163","America-Australia","Non-motorized watercraft","Ciconiiformes","Ardeidae","Egretta garzetta","little egret ",25,1.39794000867204
"164","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Egretta garzetta","little egret ",62.3,1.79448804665917
"165","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Egretta garzetta","little egret",35,1.54406804435028
"166","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Egretta garzetta ","little egret ",52.4,1.71933128698373
"167","America-Australia","Pedestrian","Ciconiiformes","Ardeidae","Egretta garzetta ","little egret  ",35,1.54406804435028
"168","America-Australia","Motorized vehicle","Ciconiiformes","Ardeidae","Egretta novaehollandiae","white-faced heron",63,1.79934054945358
