Name,Age,Nationality,Cause,Location,,Month,Day,Year
Damai Sarki Sherpa,37,   Nepal,Fall,Camp II,,May,21,2018
Shi Ming-ji,, China,Fall,Icefall,,April,18,1978
Terry Thompson,, United Kingdom,Fall,Camp II,,April,10,1976
Peter Legate,38, United Kingdom,Fall,Below Camp III,,April,30,2002
Michael Corey O'Brien[117],39, United Kingdom,Fall,5800m Icefall South,,May,2,2005
William (Fred) From,28, Australia,Fall,8000m,,October,9,1984
Mingma Sherpa,45,   Nepal,Fall,Between Camps I and II in the Western Cwm,,April,7,2013
Chen Yu-Nan,36, Taiwan,Fall,Unknown,,May,9,1996
George Mallory,37, United Kingdom,Fall,N.E. Ridge,,June,9,1924
Séamus (Shay) Lawless,39, Ireland,Fall,Balcony,,May,16,2019
Marco Siffredi,23, France,Fall,Hornbein Couloir,,September,8,2002
Harsh Vardhan,31, India,Fall,6900m,,April,18,1971
Dorje Mingma,,   Nepal,Icefall,Lhotse Face,,October,31,1952
Subba Singh,43,   Nepal,Heart attack,Unknown,,May,11,1992
Min Bahadur Sherchan,85,   Nepal,Heart attack,Base Camp,,May,5,2017
Sean Egan,63, Canada,Heart attack,4600m S.E. Ridge,,April,28,2005
Věslav Chrzaszcz,47, Czech,Heart attack,Unknown,,May,18,2009
Kiyoshi Narita,, Japan,Heart attack,6150m,,April,21,1970
Rick Hitch,55, United Kingdom,Heart attack,7010m,,May,1,2011
Hidetaka Mizukoshi,, Japan,Heart attack,Base camp,,April,21,1988
Malcolm Duff,, United Kingdom,Heart attack,Base Camp,,April,23,1997
Pasang Norbu Sherpa,41,   Nepal,Heart attack,8550m N.E. Ridge,,May,18,2018
Ramesh Gulve,33, India,Heart attack,Base Camp,,April,20,2012
Dawa Tenzing,,   Nepal,Heart attack,Icefall,,April,5,2012
Mingma Nuru Sherpa,46,   Nepal,Icefall,2014 Mount Everest Avalanche,,April,18,2014
Dorji Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Ang Tshiri Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Nima Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Tenzing Chottar Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Phurba Ongyal Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Lapka Tenjing Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Chhiring Ongchu Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Dorjee Khatri,,   Nepal,Icefall,Unknown,,April,18,2014
Then Dorjee Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Phur Temba Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Pasang Karma Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Ankaji Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
PemTenji Sherpa,,   Nepal,Icefall,Unknown,,April,18,2014
Aash Bahadur Gurung,,   Nepal,Icefall,Unknown,,April,18,2014
Lhakpa Tshering,,   Nepal,Internal hemorrhage,6770m,,September,27,1982
Wang Ji,, China,Mountain sickness,,,April,11,1960
Arnaud Saulnier,, France,Mountain sickness,5500m S.E. Ridge,,May,8,2003
Marko Lihteneker,45, Slovakia,Oxygen problems,8600m N.E. Ridge,,May,21,2005
Man Bahadur,,   Nepal,Pneumonia,Above Rongbuk B.C.,,May,13,1924
Bruce Herrod,37, United Kingdom,Rope accident,"S.E. Ridge, Hillary Step",,May,25,1996
Maria Elizabeth Strydom,34, Australia,Snow blindness,Near Camp IV,,May,22,2016
Peter Božík,34, Czechoslovakia,Unknown,8000m S.W. Ridge,,October,17,1988
Jaroslav Jaško,26, Czechoslovakia,Unknown,8000m S.W. Ridge,,October,17,1988
Jozef Just,33, Czechoslovakia,Unknown,8000m S.W. Ridge,,October,17,1988
Sonam Tshering,,   Nepal,Unknown,8750m S.E. Ridge,,April,23,1993
