Continent,Disturbance,Order,Family,Scientific.name,Common.name,FID,log.fid
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Lichenostomus chrysops ,yellow-faced honeyeater ,4.5,0.653212514
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Lichenostomus flavus,yellow honeyeater,6.4,0.806179974
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Lichenostomus fuscus,fuscous honeyeater,14.6,1.164352856
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Lichenostomus leucotis,white-eared honeyeater,8.8,0.944482672
America-Australia,Pedestrian,Passeriformes,Meliphagidae,Lichenostomus penicillatus,white-plumed honeyeater,16.7,1.222716471
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Lichenostomus virescens,singing honeyeater,12,1.079181246
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Lichmera indistincta ,brown honeyeater,9.8,0.991226076
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Limnodromus griseus ,short-billed dowitcher ,12.7,1.103803721
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Limosa fedoa ,marbled godwit,17.7,1.247973266
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Limosa lapponica,bar-tailed godwit,48.6,1.686636269
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Limosa limosa,black-tailed godwit,31.25,1.494850022
America-Australia,Pedestrian,Passeriformes,Estrildidae,Lonchura castaneothorax ,chestnut-breasted mannikin,14.4,1.158362492
America-Australia,Pedestrian,Passeriformes,Estrildidae,Lonchura punctulata ,nutmeg mannikin ,11.1,1.045322979
America-Australia,Pedestrian,Columbiformes,Columbidae ,Lopholaimus antarcticus,topknot pigeon,15,1.176091259
America-Australia,Pedestrian,Columbiformes,Columbidae ,Macropygia amboinensis ,brown cuckoo-dove ,8.9,0.949390007
America-Australia,Pedestrian,Anseriformes,Anatidae,Malacorhynchus membranaceus,pink-eared duck ,31.5,1.498310554
America-Australia,Pedestrian,Passeriformes,Maluridae ,Malurus cyaneus,superb fairy-wren ,6.5,0.812913357
America-Australia,Pedestrian,Passeriformes,Maluridae ,Malurus lamberti ,variegated fairy-wren ,4.5,0.653212514
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Manorina melanocephala ,noisy miner,7.5,0.875061263
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Manorina melanophrys ,bell miner,2.7,0.431363764
America-Australia,Pedestrian,Passeriformes,Locustellidae,Megalurus gramineus,little grassbird,6.5,0.812913357
America-Australia,Pedestrian,Passeriformes,Locustellidae,Megalurus timoriensis,tawny grassbird,6,0.77815125
America-Australia,Pedestrian,Galliformes,Megapodiidae,Megapodius reinwardt,orange-footed scrubfowl,25.9,1.413299764
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Meliphaga lewinii ,Lewin’s honeyeater ,8.2,0.913813852
America-Australia,Pedestrian,Passeriformes,Emberizidae,Melospiza melodia ,song sparrow ,8.3,0.919078092
America-Australia,Pedestrian,Passeriformes,Menuridae ,Menura novaehollandiae,superb lyrebird ,10.5,1.021189299
America-Australia,Pedestrian,Coraciiformes,Meropidae,Merops ornatus,rainbow bee-eater,23,1.361727836
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Mesophoyx intermedia,intermediate egret,30.6,1.485721426
America-Australia,Pedestrian,Pelicaniformes,Phalacrocoracidae,Microcarbo melanoleucos,little pied cormorant,46.1,1.663700925
America-Australia,Pedestrian,Falconiformes,Accipitridae,Milvus migrans,black kite,57,1.755874856
America-Australia,Pedestrian,Passeriformes,Monarchidae,Monarcha melanopsis,black-faced monarch,11,1.041392685
America-Australia,Pedestrian,Passeriformes,Motacillidae,Motacilla alba ,white wagtail ,7.7,0.886490725
America-Australia,Pedestrian,Passeriformes,Monarchidae,Myiagra cyanoleuca,satin flycatcher,9.7,0.986771734
America-Australia,Pedestrian,Passeriformes,Monarchidae,Myiagra rubecula,leaden flycatcher,10,1
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Myzomela obscura,dusky honeyeater,2,0.301029996
America-Australia,Pedestrian,Passeriformes,Nectariniidae,Nectarinia jugularis,olive-backed sunbird,10.9,1.037426498
America-Australia,Pedestrian,Passeriformes,Estrildidae,Neochmia temporalis ,red-browed finch,7.1,0.851258349
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Numenius madagascariensis,eastern curlew,97.5,1.989004616
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Numenius phaeopus,whimbrel ,90,1.954242509
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Nycticorax caledonicus,Nankeen night-heron,16.6,1.220108088
