"affiliation","marijuana_use"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","never"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
"liberal","sometimes"
