"","ciudad","paro","violencia","educacion"
"227","Frisco city",3.447143,4.286765,4.2157145
"228","Garland city",6.4071407,5.369382,23.248573
"229","Grand Prairie city",5.874287,5.528919,20.808577
"230","Houston city",5.8785734,6.8892035,24.910007
"231","Irving city",5.177143,5.382721,20.271435
"232","Killeen city",6.6399994,6.375251,9.145712
"233","Laredo city",3.9771414,5.9838724,36.142868
"234","Lubbock city",4.247144,6.680442,14.8899975
"235","McKinney city",2.791428,4.845667,9.052861
"236","Mesquite city",5.0528574,5.714201,18.434296
"237","Midland city",3.055714,5.7900686,17.474276
"238","Odessa city",3.5757155,6.9303436,24.765713
"239","Pasadena city",6.559998,5.936133,29.461424
"240","Plano city",3.9514282,4.737275,6.544285
"241","Richardson city",4.7471423,4.9550476,7.9871426
"242","Round Rock city",4.8828573,4.657628,9.434287
"243","San Antonio city",5.1271443,6.1556797,19.74571
"244","Wichita Falls city",3.9271417,6.0389338,15.538567
"245","Provo city",4.899999,4.5994697,9.217146
"246","Salt Lake City city",5.4885716,6.441081,13.931425
"247","West Jordan city",4.8971434,5.1075835,9.774287
"248","West Valley City city",6.354288,5.96315,22.24143
"249","Alexandria city",3.4571435,5.096291,9.30286
"250","Chesapeake city",4.56857,5.876587,9.88
"251","Hampton city",6.034287,5.3810425,11.190004
"252","Newport News city",5.7657127,5.9632277,11.804281
"253","Norfolk city",6.3871417,6.245412,14.591429
"254","Richmond city",6.6985703,6.447154,18.60572
"255","Virginia Beach city",3.812857,5.065374,6.97857
"256","Bellevue city",4.431429,4.663777,4.622856
"257","Everett city",6.951427,6.037439,13.48714
"258","Seattle city",4.538571,6.3663754,7.401427
"259","Spokane city",5.7971444,6.421154,9.197147
"260","Tacoma city",6.815712,6.6341558,13.032859
"261","Vancouver city",6.8714275,5.7611313,11.125716
"262","Green Bay city",5.2985716,6.1104827,13.78714
"263","Madison city",4.122857,5.802234,5.3528576
"264","Milwaukee city",8.159998,7.140683,19.222847
