region,ave,FID
America-Australia,Rynchops niger,26.63
America-Australia,Scenopoeetes dentirostris,5.2
America-Australia,Sericornis citreogularis,5.6
America-Australia,Sericornis frontalis,4.2
America-Australia,Sericornis keri,4.9
America-Australia,Sericornis magnirostris ,4.4
America-Australia,Sphecotheres vieilloti,7.8
America-Australia,Sterna albifrons ,21.5
America-Australia,Sterna bergii,17.71
America-Australia,Sterna caspia ,35
America-Australia,Sterna hirundo,20.5
America-Australia,Stipiturus malachurus ,7
America-Australia,Strepera graculina,14.8
America-Australia,Streptopelia chinensis ,12.7
America-Australia,Strix occidentalis occidentalis,7.8
America-Australia,Struthidea cinerea,20.7
America-Australia,Sturnella neglecta,37.73
America-Australia,Sturnus unicolor ,13.2
America-Australia,Sturnus vulgaris,14
America-Australia,Symposiarchus trivirgatus,5.7
America-Australia,Tachybaptus novaehollandiae,37.6
America-Australia,Tadorna tadornoides,122.3
America-Australia,Taeniopygia bichenovii,6.2
America-Australia,Taeniopygia guttata,14.7
America-Australia,Thinornis rubricollis,26.3
America-Australia,Threskiornis molucca,50.4
America-Australia,Threskiornis spinicollis,84.9
America-Australia,Threskornis molucca,35.03
America-Australia,Todiramphus macleayii,11
America-Australia,Todiramphus sanctus ,20.9
America-Australia,Tregellasia capito,8.5
America-Australia,Trichoglossus chlorolepidotus,1
America-Australia,Trichoglossus haematodus ,10
America-Australia,Tringa brevipes,23
America-Australia,Tringa hypoleucos,43
America-Australia,Tringa melanoleuca,23
America-Australia,Tringa nebularia,70
America-Australia,Tringa stagnatilis,44.1
America-Australia,Turdus merula,35.5
America-Australia,Turdus migratorius,11.7
America-Australia,Turnix pyrrhothorax,3.6
America-Australia,Vanellus miles,79.7
America-Australia,Vanellus tricolor,74
America-Australia,Zenaida macroura ,15.8
America-Australia,Zonotrichia leucophrys ,8.6
America-Australia,Zoothera heinei,11
America-Australia,Zoothera lunulata ,8.9
America-Australia,Zosterops lateralis ,5.5
Europe,Accipiter nisus,10
Europe,Acrocephalus palustris,8.84
Europe,Acrocephalus schoenobaenus ,7.56
Europe,Aegithalos caudatus,4.64
Europe,Alauda arvensis,14.9
Europe,Alcedo atthis,16.27
Europe,Alectoris rufa,30
Europe,Amandava amandava,6.55
