Continent,Disturbance,Order,Family,Scientific name ,Common name ,FID
Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta novaehollandiae ,white-faced heron ,45.9
Australia,Non-motorized watercraft,Ciconiiformes,Ardeidae,Mesophoyx intermedia,intermediate egret,60
Australia,Pedestrian,Ciconiiformes,Ardeidae,Mesophoyx intermedia,intermediate egret,30.6
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Mesophoyx intermedia,intermediate egret,20.0
Australia,Pedestrian,Ciconiiformes,Ardeidae,Mesophoyx intermedia,intermediate egret,13.0
Australia,Motorized vehicle,Ciconiiformes,Ardeidae,Mesophoyx intermedia ,intermediate egret ,20.0
Australia,Non-motorized watercraft,Ciconiiformes,Ardeidae,Nycticorax caledonicus,Nankeen night-heron,44.0
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea flavipes,yellow-billed spoonbill,24.7
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Platalea flavipes ,yellow-billed spoonbill  ,89.8
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea flavipes ,yellow-billed spoonbill  ,24.7
Australia,Non-motorized watercraft,Ciconiiformes,Threskiornithidae,Platalea regia,royal spoonbill,23.0
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea regia,royal spoonbill,55
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Platalea regia,royal spoonbill,46.0
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea regia,royal spoonbill,48.8
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea regia ,royal spoonbill,44.4
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Platalea regia ,royal spoonbill ,46.0
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea regia ,royal spoonbill ,50.1
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Platalea regia ,royal spoonbill ,32.7
Australia,Non-motorized watercraft,Ciconiiformes,Threskiornithidae,Plegadis falcinellus,glossy ibis ,22.3
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Plegadis falcinellus,glossy ibis ,56.3
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Plegadis falcinellus,glossy ibis,22.9
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Plegadis falcinellus,glossy ibis,45.0
Australia,Non-motorized watercraft,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian white ibis ,26.0
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian sacred ibis ,50.4
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian white ibis,56.2
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian white ibis,48.6
Australia,Motorized watercraft,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian white ibis,62.2
Australia,Non-motorized watercraft,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian white ibis,58.3
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian white ibis,80.8
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis molucca ,Australian white ibis ,32.8
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Threskiornis molucca ,Australian white ibis  ,64.9
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Threskiornis molucca ,Australian white ibis  ,55.1
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis molucca ,Australian white ibis  ,49.8
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Threskiornis spinicollis,straw-necked ibis,81.8
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis spinicollis,straw-necked ibis,84.9
Australia,Motorized vehicle,Ciconiiformes,Threskiornithidae,Threskiornis spinicollis,straw-necked ibis ,80.6
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis spinicollis,straw-necked ibis ,110.7
Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis spinicollis ,straw-necked ibis ,42.4
Australia,Pedestrian,Columbiformes,Columbidae ,Geopelia humeralis ,bar-shouldered dove ,22.1
Australia,Pedestrian,Columbiformes,Columbidae ,Leucosarcia melanoleuca,Wonga pigeon ,18.5
Australia,Pedestrian,Columbiformes,Columbidae ,Macropygia amboinensis ,brown cuckoo-dove ,8.9
Australia,Pedestrian,Columbiformes,Columbidae ,Macropygia amboinensis ,brown cuckoo-dove ,4.6
Australia,Pedestrian,Columbiformes,Columbidae ,Macropygia amboinensis ,brown cuckoo-dove ,8.1
Australia,Pedestrian,Coraciiformes,Coraciidae ,Eurystomus orientalis ,dollarbird ,25.9
Australia,Pedestrian,Coraciiformes,Halcyonidae ,Dacelo novaeguineae ,laughing kookaburra ,10.5
Australia,Pedestrian,Coraciiformes,Halcyonidae ,Dacelo novaeguineae ,laughing kookaburra ,14.7
Australia,Pedestrian,Coraciiformes,Halcyonidae ,Dacelo novaeguineae ,laughing kookaburra,13.8
Australia,Pedestrian,Coraciiformes,Halcyonidae ,Todiramphus sanctus ,sacred kingfisher ,20.9
Australia,Pedestrian,Cuculiformes,Cuculidae ,Cacomantis flabelliformis ,fan-tailed cuckoo ,10.6
Australia,Pedestrian,Falconiformes,Accipitridae ,Elanus axillaris ,black-shouldered kite ,23.1
Australia,Pedestrian,Galliformes,Megapodiidae ,Alectura lathami ,Australian brush turkey,12.0
Australia,Motorized vehicle,Gruiformes,Rallidae,Fulica atra,Eurasian coot,74.3
Australia,Pedestrian,Gruiformes,Rallidae,Fulica atra,Eurasian coot,72.8
Australia,Bicycle,Gruiformes,Rallidae,Fulica atra,Eurasian coot ,97.2
Australia,Motorized vehicle,Gruiformes,Rallidae,Fulica atra,Eurasian coot ,62.3
Australia,Motorized vehicle,Gruiformes,Rallidae,Fulica atra,Eurasian coot ,74.3
Australia,Pedestrian,Gruiformes,Rallidae,Fulica atra,Eurasian coot ,74.7
Australia,Motorized vehicle,Gruiformes,Rallidae,Gallinula tenebrosa,dusky moorhen,14.0
Australia,Motorized vehicle,Gruiformes,Rallidae,Gallinula tenebrosa,dusky moorhen ,12.0
Australia,Non-motorized watercraft,Gruiformes,Rallidae,Gallinula ventralis,black-tailed native hen ,19
Australia,Pedestrian,Gruiformes,Rallidae,Gallinula ventralis,black-tailed native hen ,36.8
Australia,Pedestrian,Gruiformes,Rallidae,Gallinula ventralis,black-tailed native hen,52.7
Australia,Motorized vehicle,Gruiformes,Rallidae,Gallirallus philippensis,buff-banded rail ,14.6
Australia,Motorized vehicle,Gruiformes,Rallidae,Porphyrio porphyria,purple swamphen,34.2
Australia,Pedestrian,Gruiformes,Rallidae,Porphyrio porphyria,purple swamphen,57.9
Australia,Bicycle,Gruiformes,Rallidae,Porphyrio porphyrio ,purple swamphen ,69.7
Australia,Motorized vehicle,Gruiformes,Rallidae,Porphyrio porphyrio ,purple swamphen ,66.9
Australia,Motorized vehicle,Gruiformes,Rallidae,Porphyrio porphyrio ,purple swamphen ,43.5
Australia,Pedestrian,Gruiformes,Rallidae,Porphyrio porphyrio ,purple swamphen ,52.6
Australia,Pedestrian,Gruiformes,Rallidae,Porphyrio porphyrio ,purple swamphen ,72.5
Australia,Bicycle,Gruiformes,Rallidae,Tribonyx ventralis ,black-tailed native hen ,35.0
Australia,Motorized vehicle,Gruiformes,Rallidae,Tribonyx ventralis ,black-tailed native-hen ,96.0
Australia,Pedestrian,Gruiformes,Rallidae,Tribonyx ventralis ,black-tailed native hen ,52.7
Australia,Pedestrian,Gruiformes,Rallidae ,Fulica atra ,Eurasian coot ,19.2
Australia,Pedestrian,Passeriformes,Aegithalidae ,Psaltriparus minimus ,bushtit ,7.4
Australia,Pedestrian,Passeriformes,Aegithalidae ,Psaltriparus minimus ,bushtit ,8.5
